recorded_time,latitude,longitude
2014-05-11 16:29:42,42.3907774,-71.1197117
2014-05-11 16:30:27,42.3906688,-71.1197074
2014-05-11 16:31:12,42.3909079,-71.1197574
2014-05-11 16:31:57,42.3908541,-71.1197527
2014-05-11 16:32:42,42.3909155,-71.1196015
2014-05-11 16:34:12,42.3910424,-71.1195076
2014-05-11 16:34:57,42.3908965,-71.1195725
2014-05-11 16:35:42,42.3909451,-71.1195399
2014-05-11 16:36:27,42.3909823,-71.1195848
2014-05-11 16:37:12,42.390897,-71.1196211
2014-05-11 16:37:57,42.3908225,-71.1196326
2014-05-11 16:39:28,42.3910599,-71.119688
2014-05-11 16:41:43,42.3909835,-71.119592
2014-05-11 16:42:28,42.3910233,-71.1197228
2014-05-11 16:43:59,42.3910822,-71.1196716
2014-05-11 16:46:14,42.391052,-71.1195004
2014-05-11 16:46:59,42.3908866,-71.1195683
2014-05-11 16:47:44,42.3910945,-71.1197304
2014-05-11 16:48:41,42.3910653,-71.1195613
2014-05-11 16:51:50,42.3909048,-71.1196148
2014-05-11 16:53:20,42.3910887,-71.1196353
2014-05-11 16:54:04,42.3910284,-71.1195687
2014-05-11 16:55:35,42.3910807,-71.1196453
2014-05-11 16:56:21,42.3911966,-71.1195768
2014-05-11 16:57:51,42.3910374,-71.1199123
2014-05-11 16:59:21,42.3912102,-71.1195189
2014-05-11 17:00:06,42.3913672,-71.1190304
2014-05-11 17:00:30,42.3913121,-71.1188669
2014-05-11 17:01:17,42.3910455,-71.1184161
2014-05-11 17:02:01,42.3907025,-71.1180436
2014-05-11 17:02:47,42.3905191,-71.1169958
2014-05-11 17:03:31,42.3896783,-71.1177757
2014-05-11 17:04:17,42.3905191,-71.1169958
2014-05-11 17:05:01,42.3898464,-71.1178473
2014-05-11 17:05:47,42.3896722,-71.1180466
2014-05-11 17:06:32,42.3896938,-71.1181442
2014-05-11 17:07:17,42.3896631,-71.1180727
2014-05-11 17:08:02,42.3895978,-71.1180565
2014-05-11 17:08:47,42.3897451,-71.1179753
2014-05-11 17:09:32,42.3897759,-71.1178638
2014-05-11 17:10:18,42.3905191,-71.1169958
2014-05-11 17:11:02,42.3896897,-71.1173127
2014-05-11 17:11:47,42.3904426,-71.1179853
2014-05-11 17:12:34,42.3911533,-71.1185791
2014-05-11 17:13:19,42.3913754,-71.1188236
2014-05-11 17:14:07,42.3912928,-71.1195445
2014-05-11 17:14:49,42.3906088,-71.1208678
2014-05-11 17:15:33,42.3904754,-71.1210786
2014-05-11 17:16:19,42.3908093,-71.1230159
2014-05-11 17:17:03,42.3893539,-71.1248417
2014-05-11 17:17:49,42.3857411,-71.1307152
2014-05-11 17:18:33,42.3861551,-71.1311352
2014-05-11 17:19:20,42.3857411,-71.1307152
2014-05-11 17:20:06,42.3839157,-71.1339068
2014-05-11 17:20:53,42.3810836,-71.1391929
2014-05-11 17:21:38,42.3805565,-71.1422699
2014-05-11 17:22:22,42.3802491,-71.1440979
2014-05-11 17:23:09,42.3784607,-71.1455058
2014-05-11 17:24:39,42.3823302,-71.1550654
2014-05-11 17:25:24,42.3822753,-71.1551892
2014-05-11 17:26:07,42.3783579,-71.1589957
2014-05-11 17:26:52,42.3790608,-71.1616432
2014-05-11 17:27:37,42.3766413,-71.1601244
2014-05-11 17:28:25,42.3783939,-71.1706974
2014-05-11 17:29:09,42.3798862,-71.1753251
2014-05-11 17:29:53,42.3802726,-71.1817746
2014-05-11 17:30:39,42.380436,-71.1868057
2014-05-11 17:31:24,42.3804862,-71.1872579
2014-05-11 17:32:11,42.3779428,-71.1915133
2014-05-11 17:34:31,42.376149,-71.1930223
2014-05-11 17:36:46,42.3378757,-71.1684994
2014-05-11 17:37:30,42.3761436,-71.1930087
2014-05-11 17:42:47,42.3761305,-71.192947
2014-05-11 17:43:33,42.3761398,-71.1930148
2014-05-11 17:44:18,42.3761918,-71.1930409
2014-05-11 17:45:03,42.3761473,-71.1930134
2014-05-11 17:47:18,42.3761054,-71.1929689
2014-05-11 17:49:33,42.3762113,-71.1930597
2014-05-11 17:50:18,42.3761336,-71.1930048
2014-05-11 17:52:34,42.3761804,-71.1930223
2014-05-11 17:53:19,42.3762333,-71.1930856
2014-05-11 17:54:04,42.3761755,-71.1930216
2014-05-11 17:57:49,42.3762375,-71.1930713
